node1,node2,directed_BOOLEAN,weight_DOUBLE
1589547497,3023307488,true,11
1590241474,1949382920,true,1
1590241474,27817698,true,1
1590241474,50495861241,true,1
1590241474,59807915743,true,1
1593245914,1627736808,true,1
1593245914,3144910593,true,1
1593272131,63066472700,true,1
15936701272,876309938,true,1
15939627656,65610243815,true,1
15939627656,7014955281,true,1
1594598019,28600521717,true,5
15956652198,54539779400,true,1
16035009320,7910072057,true,1
1604466581,39789216699,true,1
1605446845,1949382920,true,1
1605446845,3665560447,true,1
1605446845,51160215301,true,1
1605446845,59807915743,true,1
1605446845,60726382307,true,1
1605446845,75533149109,true,1
1611441345,69663303731,true,1
1613110049,6898879121,true,1
1613349895,60726382307,true,11
1613349895,7046944220,true,1
1618793898,1430802675,true,1
1622668400,10322006202,true,1
1622668400,41141106963,true,1
1622668400,49965208484,true,1
1622668400,53104155442,true,1
1622668400,58602884866,true,1
1622668400,70535429295,true,1
16246659762,1204366680,true,1
1626863218,364081256,true,1
1626863218,39008730753,true,1
1626863218,70345892670,true,1
1626863218,80014592703,true,1
1626863218,8443460682,true,1
1626955813,11830584559,true,4
1626955813,23123137473,true,1
1626955813,44473774762,true,1
1626955813,73222501641,true,1
1627708364,47970142852,true,1
1627708364,74581196580,true,2
1629206111,10322006202,true,1
1629206111,13521455499,true,1
1629206111,8458002040,true,1
1635389571,73721231695,true,1
16358408912,32912535458,true,1
1636378491,8993455101,true,1
1638084010,7899243263,true,1
1638398985,32912535458,true,1
1639118886,8546472685,true,2
1647777394,8500036155,true,1
1650861721,43587224389,true,1
1650904049,35365075957,true,1
1652425716,12857211264,true,1
1652425716,1381895679,true,1
1652425716,5496840166,true,2
1653994999,1949382920,true,1
1654680679,10322006202,true,2
16594479017,57953747930,true,1
1662527205,32912535458,true,1
1663457437,13521455499,true,5
1663457437,1429993141,true,3
1663457437,1560393475,true,1
1663457437,27817698,true,1
1663457437,39403493068,true,1
1663457437,5496840166,true,1
1666744787,51665830889,true,1
1666744787,60515011571,true,1
16713034502,6484055647,true,1
16733047495,1552826917,true,1
16839027739,44118709627,true,1
1684414697,58472559554,true,1
1684414697,74270195748,true,1
16865201094,1949382920,true,3
1688786307,2017162712,true,3
1688786307,54539779400,true,1
1690799144,13521455499,true,1
1690799144,1429993141,true,1
1690799144,1824890341,true,1
1690799144,364081256,true,1
1690799144,5496840166,true,1
1690799144,6210315655,true,1
1690799144,70535429295,true,1
1690799144,7163448847,true,1
1690799144,74270195748,true,1
16949317407,70716053249,true,1
1695546972,56260336990,true,1
16983088833,1929064780,true,1
1702866318,52287502374,true,1
1706471187,176185354,true,1
1708195882,10322006202,true,1
1708195882,1487027196,true,1
1708195882,52063150785,true,1
1708195882,54539779400,true,3
1708195882,56908202539,true,1
1712126440,1725888149,true,1
17121654346,64631629048,true,1
1712997654,7458572396,true,1
1713124195,1929064780,true,1
1716632232,72724234965,true,1
17166632942,3023307488,true,1
1718922867,1381895679,true,1
1725283471,52063150785,true,1
17283020845,60515011571,true,1
1732975412,1231861117,true,1
1732975412,1949382920,true,1
1732975412,2293689420,true,1
1732975412,59807915743,true,1
1732975412,9454401305,true,1
